"id_nuevo";"full_name";"firstname";"lastname1";"lastname2";"party";"pact"
"002";"Aedo Ormeño, René";"René";"Aedo";"Ormeño";"RN";"Alianza"
"003";"Aguiló Melo, Sergio";"Sergio";"Aguiló";"Melo";"PS";"Concertacion/NM"
"007";"Álvarez Zenteno, Rodrigo";"Rodrigo";"Álvarez";"Zenteno";"RN";"Alianza"
"008";"Alvarez-Salamanca Büchi, Pedro Pablo";"Pedro Pablo";"Alvarez-Salamanca";"Büchi";"UDI";"Alianza"
"010";"Arenas Hödar, Gonzalo";"Gonzalo";"Arenas";"Hödar";"UDI";"Alianza"
"011";"Ascencio Mansilla, Gabriel";"Gabriel";"Ascencio";"Mansilla";"PDC";"Concertacion/NM"
"012";"Barros Montero, Ramón";"Ramón";"Barros";"Montero";"UDI";"Alianza"
"014";"Becker Alvear, Germán";"Germán";"Becker";"Alvear";"RN";"Alianza"
"015";"Bertolino Rendic, Mario";"Mario";"Bertolino";"Rendic";"RN";"Alianza"
"016";"Bobadilla Muñoz, Sergio";"Sergio";"Bobadilla";"Muñoz";"UDI";"Alianza"
"017";"Burgos Varela, Jorge";"Jorge";"Burgos";"Varela";"PDC";"Concertacion/NM"
"018";"Bustos Ramírez, Juan";"Juan";"Bustos";"Ramírez";"PS";"Concertacion/NM"
"020";"Ceroni Fuentes, Guillermo";"Guillermo";"Ceroni";"Fuentes";"PPD";"Concertacion/NM"
"021";"Chahuán Chahuán, Francisco";"Francisco";"Chahuán";"Chahuán";"RN";"Alianza"
"022";"Correa De la Cerda, Sergio";"Sergio";"Correa";"De la Cerda";"UDI";"Alianza"
"023";"Cristi Marfil, María Angélica";"María Angélica";"Cristi";"Marfil";"UDI";"Alianza"
"024";"Cubillos Sigall, Marcela";"Marcela";"Cubillos";"Sigall";"UDI";"Alianza"
"025";"De Urresti Longton, Alfonso";"Alfonso";"De Urresti";"Longton";"PS";"Concertacion/NM"
"026";"Delmastro Naso, Roberto";"Roberto";"Delmastro";"Naso";"RN";"Alianza"
"029";"Dittborn Cordua, Julio";"Julio";"Dittborn";"Cordua";"UDI";"Alianza"
"030";"Duarte Leiva, Gonzalo";"Gonzalo";"Duarte";"Leiva";"PDC";"Concertacion/NM"
"034";"Enríquez-Ominami Gumucio, Marco";"Marco";"Enríquez-Ominami";"Gumucio";"PS";"Concertacion/NM"
"035";"Errázuriz Eguiguren, Maximiano";"Maximiano";"Errázuriz";"Eguiguren";"RN";"Alianza"
"038";"Espinoza Sandoval, Fidel";"Fidel";"Espinoza";"Sandoval";"PS";"Concertacion/NM"
"039";"Estay Peñaloza, Enrique";"Enrique";"Estay";"Peñaloza";"UDI";"Alianza"
"041";"Forni Lobos, Marcelo";"Marcelo";"Forni";"Lobos";"UDI";"Alianza"
"043";"Galilea Carrillo, Pablo";"Pablo";"Galilea";"Carrillo";"RN";"Alianza"
"044";"García García, René Manuel";"René Manuel";"García";"García";"RN";"Alianza"
"047";"Godoy Ibáñez, Joaquín";"Joaquín";"Godoy";"Ibáñez";"RN";"Alianza"
"050";"Hales Dib, Patricio";"Patricio";"Hales";"Dib";"PPD";"Concertacion/NM"
"051";"Hernández Hernández, Javier";"Javier";"Hernández";"Hernández";"UDI";"Alianza"
"052";"Herrera Silva, Amelia";"Amelia";"Herrera";"Silva";"RN";"Alianza"
"054";"Isasi Barbieri, Marta";"Marta";"Isasi";"Barbieri";"PAR";"Otro"
"058";"Kast Rist, José Antonio";"José Antonio";"Kast";"Rist";"UDI";"Alianza"
"062";"Lobos Krause, Juan";"Juan";"Lobos";"Krause";"UDI";"Alianza"
"064";"Martínez Labbé, Rosauro";"Rosauro";"Martínez";"Labbé";"RN";"Alianza"
"065";"Masferrer Pellizzari, Juan";"Juan";"Masferrer";"Pellizzari";"UDI";"Alianza"
"066";"Melero Abaroa, Patricio";"Patricio";"Melero";"Abaroa";"UDI";"Alianza"
"068";"Monckeberg Bruner, Cristián";"Cristián";"Monckeberg";"Bruner";"RN";"Alianza"
"069";"Monckeberg Díaz, Nicolás";"Nicolás";"Monckeberg";"Díaz";"RN";"Alianza"
"071";"Montes Cisternas, Carlos";"Carlos";"Montes";"Cisternas";"PS";"Concertacion/NM"
"072";"Moreira Barros, Iván";"Iván";"Moreira";"Barros";"UDI";"Alianza"
"075";"Nogueira Fernández, Claudia";"Claudia";"Nogueira";"Fernández";"UDI";"Alianza"
"076";"Norambuena Farías, Iván";"Iván";"Norambuena";"Farías";"UDI";"Alianza"
"081";"Pacheco Rivas, Clemira";"Clemira";"Pacheco";"Rivas";"PS";"Concertacion/NM"
"082";"Palma Flores, Osvaldo";"Osvaldo";"Palma";"Flores";"RN";"Alianza"
"083";"Paredes Fierro, Iván";"Iván";"Paredes";"Fierro";"PS";"Concertacion/NM"
"084";"Pascal Allende, Denise";"Denise";"Pascal";"Allende";"PS";"Concertacion/NM"
"085";"Paya Mira, Darío";"Darío";"Paya";"Mira";"UDI";"Alianza"
"088";"Recondo Lavanderos, Carlos";"Carlos";"Recondo";"Lavanderos";"UDI";"Alianza"
"092";"Rubilar Barahona, Karla";"Karla";"Rubilar";"Barahona";"RN";"Alianza"
"095";"Saffirio Suárez, Eduardo";"Eduardo";"Saffirio";"Suárez";"PDC";"Concertacion/NM"
"096";"Salaberry Soto, Felipe";"Felipe";"Salaberry";"Soto";"UDI";"Alianza"
"097";"Sepúlveda Hermosilla, Roberto";"Roberto";"Sepúlveda";"Hermosilla";"RN";"Alianza"
"099";"Silber Romo, Gabriel";"Gabriel";"Silber";"Romo";"PDC";"Concertacion/NM"
"102";"Sunico Galdames, Raúl";"Raúl";"Sunico";"Galdames";"PS";"Concertacion/NM"
"106";"Turres Figueroa, Marisol";"Marisol";"Turres";"Figueroa";"UDI";"Alianza"
"108";"Uriarte Herrera, Gonzalo";"Gonzalo";"Uriarte";"Herrera";"UDI";"Alianza"
"109";"Urrutia Bonilla, Ignacio";"Ignacio";"Urrutia";"Bonilla";"UDI";"Alianza"
"110";"Valcarce Becerra, Ximena";"Ximena";"Valcarce";"Becerra";"RN";"Alianza"
"113";"Vargas Lyng, Alfonso";"Alfonso";"Vargas";"Lyng";"RN";"Alianza"
"116";"Verdugo Soto, Germán";"Germán";"Verdugo";"Soto";"RN";"Alianza"
"118";"Von Mühlenbrock Zamora, Gastón";"Gastón";"Von Mühlenbrock";"Zamora";"UDI";"Alianza"
"119";"Walker Prieto, Patricio";"Patricio";"Walker";"Prieto";"PDC";"Concertacion/NM"
"120";"Ward Edwards, Felipe";"Felipe";"Ward";"Edwards";"UDI";"Alianza"
